Study_word,thisN,thisTrialN,thisRepN,Studyslider.response,Studyslider.rt,test_word,Reference,old_new,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,StudyText.started,Studyslider.started,trial.stopped,trials.Studyslider.response,trials.Studyslider.rt,Test_Phase.started,TestText.started,test_textbox.started,submit_text.started,testmouse.started,Test_Phase.stopped,trials_2.test_textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,TestText.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
,0,0,0,,,ta_l_,table,new,"
",[np.float64(-0.0275)],[np.float64(-0.32125)],[1],[0],[0],[6.066144600044936],['submit_text'],,,,,0,0,0,15,29.8300326,,,,,,,,29.8027977,29.8300326,29.8300326,29.8300326,0.02,35.8693521,"table
",[np.float64(-0.0275)],[np.float64(-0.32125)],[1],[0],[0],[6.066144600044936],['submit_text'],,1,1,2025-10-16_22h43.46.552,word priming,,2025.1.1,60.6470433,2025-10-16 22h45.01.728900 +0530
,1,1,0,,,v_s_,vase,new,vase,[np.float64(-0.0275)],[np.float64(-0.31375)],[1],[0],[0],[3.038682200014591],['submit_text'],,,,,0,1,1,17,35.8946122,,,,,,,,35.8761265,35.8946122,35.8946122,35.8946122,0.0066011,38.9151974,vase,[np.float64(-0.0275)],[np.float64(-0.31375)],[1],[0],[0],[3.038682200014591],['submit_text'],,1,1,2025-10-16_22h43.46.552,word priming,,2025.1.1,60.6470433,2025-10-16 22h45.01.728900 +0530
,2,2,0,,,c_m_ra,camera,new,camera,[np.float64(-0.0275)],[np.float64(-0.2975)],[1],[0],[0],[4.356208199867979],['submit_text'],,,,,0,2,2,19,38.941998,,,,,,,,38.9195586,38.941998,38.941998,38.941998,0.0041834,43.2761636,camera,[np.float64(-0.0275)],[np.float64(-0.2975)],[1],[0],[0],[4.356208199867979],['submit_text'],,1,1,2025-10-16_22h43.46.552,word priming,,2025.1.1,60.6470433,2025-10-16 22h45.01.728900 +0530
,3,3,0,,,p_nc_l,pencil,new,pencil,[np.float64(-0.01375)],[np.float64(-0.31875)],[1],[0],[0],[4.696000299882144],['submit_text'],,,,,0,3,3,16,43.2915946,,,,,,,,43.2807601,43.2915946,43.2915946,43.2915946,0.0044157,47.9771307,pencil,[np.float64(-0.01375)],[np.float64(-0.31875)],[1],[0],[0],[4.696000299882144],['submit_text'],,1,1,2025-10-16_22h43.46.552,word priming,,2025.1.1,60.6470433,2025-10-16 22h45.01.728900 +0530
,4,4,0,,,_ha_t,chart,old,chart,[np.float64(-0.03375)],[np.float64(-0.2825)],[1],[0],[0],[3.4798213001340628],['submit_text'],,,,,0,4,4,6,48.004846,,,,,,,,47.9810014,48.004846,48.004846,48.004846,0.0037346,51.4611887,chart,[np.float64(-0.03375)],[np.float64(-0.2825)],[1],[0],[0],[3.4798213001340628],['submit_text'],,1,1,2025-10-16_22h43.46.552,word priming,,2025.1.1,60.6470433,2025-10-16 22h45.01.728900 +0530
,5,5,0,,,p_li_e,police,old,police,[np.float64(-0.02875)],[np.float64(-0.30375)],[1],[0],[0],[3.492627700092271],['submit_text'],,,,,0,5,5,12,51.4882507,,,,,,,,51.4651181,51.4882507,51.4882507,51.4882507,0.0037804,54.958155,police,[np.float64(-0.02875)],[np.float64(-0.30375)],[1],[0],[0],[3.492627700092271],['submit_text'],,1,1,2025-10-16_22h43.46.552,word priming,,2025.1.1,60.6470433,2025-10-16 22h45.01.728900 +0530
,6,6,0,,,_ho_e,phone,old,shoes,[np.float64(-0.0275)],[np.float64(-0.285)],[1],[0],[0],[9.708577999845147],['submit_text'],,,,,0,6,6,2,54.9855683,,,,,,,,54.9626738,54.9855683,54.9855683,54.9855683,0.0043305,64.6716715,shoes,[np.float64(-0.0275)],[np.float64(-0.285)],[1],[0],[0],[9.708577999845147],['submit_text'],,1,1,2025-10-16_22h43.46.552,word priming,,2025.1.1,60.6470433,2025-10-16 22h45.01.728900 +0530
,7,7,0,,,k_y_,keys,old,keys,[np.float64(-0.025)],[np.float64(-0.32)],[1],[0],[0],[4.446288499981165],['submit_text'],,,,,0,7,7,13,64.6979676,,,,,,,,64.6757103,64.6979676,64.6979676,64.6979676,0.0038547,69.1224775,keys,[np.float64(-0.025)],[np.float64(-0.32)],[1],[0],[0],[4.446288499981165],['submit_text'],,1,1,2025-10-16_22h43.46.552,word priming,,2025.1.1,60.6470433,2025-10-16 22h45.01.728900 +0530
,8,8,0,,,t_hi_t,tshirt,old,tshirt,[np.float64(-0.04625)],[np.float64(-0.29)],[1],[0],[0],[4.285375399980694],['submit_text'],,,,,0,8,8,7,69.1469037,,,,,,,,69.1272321,69.1469037,69.1469037,69.1469037,0.0045078,73.4129536,tshirt,[np.float64(-0.04625)],[np.float64(-0.29)],[1],[0],[0],[4.285375399980694],['submit_text'],,1,1,2025-10-16_22h43.46.552,word priming,,2025.1.1,60.6470433,2025-10-16 22h45.01.728900 +0530
,9,9,0,,,c_s_,case,old,case,[np.float64(-0.01625)],[np.float64(-0.3025)],[1],[0],[0],[3.564560300204903],['submit_text'],,,,,0,9,9,10,73.4286548,,,,,,,,73.4163336,73.4286548,73.4286548,73.4286548,0.003241,76.981327,case,[np.float64(-0.01625)],[np.float64(-0.3025)],[1],[0],[0],[3.564560300204903],['submit_text'],,1,1,2025-10-16_22h43.46.552,word priming,,2025.1.1,60.6470433,2025-10-16 22h45.01.728900 +0530
,10,10,0,,,_o_se,mouse,old,mouse,[np.float64(-0.01625)],[np.float64(-0.3025)],[1],[0],[0],[10.090981000103056],['submit_text'],,,,,0,10,10,8,77.0091091,,,,,,,,76.9854471,77.0091091,77.0091091,77.0091091,0.0039403,87.0769268,mouse,[np.float64(-0.01625)],[np.float64(-0.3025)],[1],[0],[0],[10.090981000103056],['submit_text'],87.0231316,1,1,2025-10-16_22h43.46.552,word priming,,2025.1.1,60.6470433,2025-10-16 22h45.01.728900 +0530
