Study_word,thisN,thisTrialN,thisRepN,Studyslider.response,Studyslider.rt,test_word,Reference,old_new,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,StudyText.started,Studyslider.started,trial.stopped,trials.Studyslider.response,trials.Studyslider.rt,Test_Phase.started,TestText.started,test_textbox.started,submit_text.started,testmouse.started,Test_Phase.stopped,trials_2.test_textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
,0,0,0,,,p_str_,pastry,old,"pastry
",[np.float64(-0.12)],[np.float64(-0.3)],[1],[0],[0],[4.302056200103834],['submit_text'],,,,,0,0,0,9,13.6549024,,,,,,,,13.6375277,13.6549024,13.6549024,13.6549024,0.0132247,17.939933,"pastry
",[np.float64(-0.12)],[np.float64(-0.3)],[1],[0],[0],[4.302056200103834],['submit_text'],2,1,2025-10-16_23h08.56.640,word priming,,2025.1.1,58.9421071,2025-10-16 23h09.03.457814 +0530
,1,1,0,,,_o_se,mouse,old,house,[np.float64(0.04625)],[np.float64(-0.2725)],[1],[0],[0],[4.417312799952924],['submit_text'],,,,,0,1,1,8,17.9717414,,,,,,,,17.9434249,17.9717414,17.9717414,17.9717414,0.0033301,22.3610558,house,[np.float64(0.04625)],[np.float64(-0.2725)],[1],[0],[0],[4.417312799952924],['submit_text'],2,1,2025-10-16_23h08.56.640,word priming,,2025.1.1,58.9421071,2025-10-16 23h09.03.457814 +0530
,2,2,0,,,c_s_,case,old,case,[np.float64(-0.0075)],[np.float64(-0.295)],[1],[0],[0],[4.191982799908146],['submit_text'],,,,,0,2,2,10,22.3864804,,,,,,,,22.3650269,22.3864804,22.3864804,22.3864804,0.0038291,26.5574522,case,[np.float64(-0.0075)],[np.float64(-0.295)],[1],[0],[0],[4.191982799908146],['submit_text'],2,1,2025-10-16_23h08.56.640,word priming,,2025.1.1,58.9421071,2025-10-16 23h09.03.457814 +0530
,3,3,0,,,_oo_,book,old,book,[np.float64(-0.045)],[np.float64(-0.31)],[1],[0],[0],[3.845271199941635],['submit_text'],,,,,0,3,3,0,26.5831307,,,,,,,,26.5618371,26.5831307,26.5831307,26.5831307,0.0042511,30.4075453,book,[np.float64(-0.045)],[np.float64(-0.31)],[1],[0],[0],[3.845271199941635],['submit_text'],2,1,2025-10-16_23h08.56.640,word priming,,2025.1.1,58.9421071,2025-10-16 23h09.03.457814 +0530
,4,4,0,,,_a_bl_,marble,old,table,[np.float64(-0.045)],[np.float64(-0.305)],[1],[0],[0],[5.190037899883464],['submit_text'],,,,,0,4,4,3,30.4317538,,,,,,,,30.4119963,30.4317538,30.4317538,30.4317538,0.0042606,35.6024557,table,[np.float64(-0.045)],[np.float64(-0.305)],[1],[0],[0],[5.190037899883464],['submit_text'],2,1,2025-10-16_23h08.56.640,word priming,,2025.1.1,58.9421071,2025-10-16 23h09.03.457814 +0530
,5,5,0,,,_ha_t,chart,old,chart,[np.float64(-0.04125)],[np.float64(-0.29375)],[1],[0],[0],[5.404153699986637],['submit_text'],,,,,0,5,5,6,35.6288614,,,,,,,,35.6068926,35.6288614,35.6288614,35.6288614,0.0042379,41.0114277,chart,[np.float64(-0.04125)],[np.float64(-0.29375)],[1],[0],[0],[5.404153699986637],['submit_text'],2,1,2025-10-16_23h08.56.640,word priming,,2025.1.1,58.9421071,2025-10-16 23h09.03.457814 +0530
,6,6,0,,,ta_l_,table,new,table,[np.float64(-0.00875)],[np.float64(-0.2975)],[1],[0],[0],[4.3365223000291735],['submit_text'],,,,,0,6,6,15,41.0282086,,,,,,,,41.0145966,41.0282086,41.0282086,41.0282086,0.0030422,45.3514636,table,[np.float64(-0.00875)],[np.float64(-0.2975)],[1],[0],[0],[4.3365223000291735],['submit_text'],2,1,2025-10-16_23h08.56.640,word priming,,2025.1.1,58.9421071,2025-10-16 23h09.03.457814 +0530
,7,7,0,,,p_li_e,police,old,police,[np.float64(-0.05875)],[np.float64(-0.2925)],[1],[0],[0],[4.0606060000136495],['submit_text'],,,,,0,7,7,12,45.3762686,,,,,,,,45.3555666,45.3762686,45.3762686,45.3762686,0.0039659,49.4166352,police,[np.float64(-0.05875)],[np.float64(-0.2925)],[1],[0],[0],[4.0606060000136495],['submit_text'],2,1,2025-10-16_23h08.56.640,word priming,,2025.1.1,58.9421071,2025-10-16 23h09.03.457814 +0530
,8,8,0,,,_ho_e,phone,old,,[np.float64(-0.05875)],[np.float64(-0.2925)],[1],[0],[0],[7.497883300064132],['submit_text'],,,,,0,8,8,2,49.4405768,,,,,,,,49.4226521,49.4405768,49.4405768,49.4405768,0.0057359,56.9210024,,[np.float64(-0.05875)],[np.float64(-0.2925)],[1],[0],[0],[7.497883300064132],['submit_text'],2,1,2025-10-16_23h08.56.640,word priming,,2025.1.1,58.9421071,2025-10-16 23h09.03.457814 +0530
,9,9,0,,,cr_i_e,cruise,old,cruise,[np.float64(-0.05875)],[np.float64(-0.2925)],[1],[0],[0],[3.383761600125581],['submit_text'],,,,,0,9,9,11,56.9376113,,,,,,,,56.9242428,56.9376113,56.9376113,56.9376113,0.0030882,60.3083876,cruise,[np.float64(-0.05875)],[np.float64(-0.2925)],[1],[0],[0],[3.383761600125581],['submit_text'],2,1,2025-10-16_23h08.56.640,word priming,,2025.1.1,58.9421071,2025-10-16 23h09.03.457814 +0530
