key_resp.keys,key_resp.corr,tilt,,hit,miss,false alarm,correct rejection,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
down,1,-2,,,,,1,,,,,,,,,
down,1,-3,,,,,1,,,,,,,,,
down,1,3,,,,,1,,,,,,,,,
down,1,4,,,,,1,,,,,,,,,
down,1,4,,,,,1,,,,,respond yes,respond no,,prop hit= hit/hit+miss,0.804878049
up,1,0,,1,,,,,,,signal present,hit,miss,,prop fa=fa/fa+corr rejection,0.457627119
down,1,-5,,,,,1,,,,signal absent,false alarm,correct rejection,,,
down,1,-2,,,,,1,,,,,,,,d-prime=z(prop hit) - zprop fa),0.965588687
up,1,0,,1,,,,,,,,,,,c= -z(prop hit)+z(prop fa)/2,-0.376380787
up,1,0,,1,,,,,,,,respond yes,respond no,,,
down,1,-4,,,,,1,,,,signal present,33,8,,,
up,0,3,,,,1,,,,,signal absent,27,32,,,
up,1,0,,1,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
up,0,2,,,,1,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
down,1,-3,,,,,1,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
down,1,-5,,,,,1,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
up,0,-2,,,,1,,,,,,,,,,
down,1,2,,,,,1,,,,,,,,,
down,0,0,,,1,,,,,,,,,,,
down,1,-2,,,,,1,,,,,,,,,
up,0,4,,,,1,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
down,1,-5,,,,,1,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
up,0,1,,,,1,,,,,,,,,,
down,1,-5,,,,,1,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
up,0,-2,,,,1,,,,,,,,,,
down,1,-3,,,,,1,,,,,,,,,
down,1,-4,,,,,1,,,,,,,,,
down,0,0,,,1,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
up,0,4,,,,1,,,,,,,,,,
up,0,2,,,,1,,,,,,,,,,
down,1,-3,,,,,1,,,,,,,,,
up,0,-2,,,,1,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
up,0,3,,,,1,,,,,,,,,,
up,0,2,,,,1,,,,,,,,,,
down,1,-3,,,,,1,,,,,,,,,
up,0,1,,,,1,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
up,0,1,,,,1,,,,,,,,,,
down,1,4,,,,,1,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
up,0,-3,,,,1,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
down,1,-4,,,,,1,,,,,,,,,
down,1,-2,,,,,1,,,,,,,,,
down,1,-4,,,,,1,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
down,1,-4,,,,,1,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
up,0,1,,,,1,,,,,,,,,,
up,0,-2,,,,1,,,,,,,,,,
down,1,-5,,,,,1,,,,,,,,,
down,1,2,,,,,1,,,,,,,,,
down,0,0,,,1,,,,,,,,,,,
down,0,0,,,1,,,,,,,,,,,
down,0,0,,,1,,,,,,,,,,,
down,0,0,,,1,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
up,0,1,,,,1,,,,,,,,,,
down,1,-5,,,,,1,,,,,,,,,
down,1,2,,,,,1,,,,,,,,,
up,0,1,,,,1,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
down,0,0,,,1,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
up,0,-4,,,,1,,,,,,,,,,
down,0,0,,,1,,,,,,,,,,,
down,1,1,,,,,1,,,,,,,,,
down,1,-4,,,,,1,,,,,,,,,
up,0,3,,,,1,,,,,,,,,,
up,0,-2,,,,1,,,,,,,,,,
up,0,3,,,,1,,,,,,,,,,
up,0,1,,,,1,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
up,0,1,,,,1,,,,,,,,,,
up,0,-2,,,,1,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
down,1,-3,,,,,1,,,,,,,,,
down,1,3,,,,,1,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
up,0,-2,,,,1,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
up,0,1,,,,1,,,,,,,,,,
down,1,4,,,,,1,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
,,,,33,8,27,32,,,,,,,,,
