problem_id,problem,correct,difficulty,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,instr_text.started,instr_key.started,instructions.stopped,instr_key.keys,instr_key.rt,instr_key.duration,fixation.started,fix.started,fixation.stopped,trial.started,problem_text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,fix.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,0.0044329,0.011196,0.011196,9.9049894,space,9.8422605,None,,,,,,,,,,,,,586133,1,2025-11-21_13h38.45.726,solo project,,2025.1.1,60.94855456,2025-11-21 13h39.04.363099 +0530
7,3 + 6 = 9,t,easy,0,0,0,t,1,2.1348415,None,0,0,0,6,9.9284257,,,,,,,,,9.9238046,9.9284257,10.4162402,10.434171,10.4383123,10.4383123,12.5815626,t,1,2.1348415,None,,586133,1,2025-11-21_13h38.45.726,solo project,,2025.1.1,60.94855456,2025-11-21 13h39.04.363099 +0530
8,7 + 5 = 12,t,easy,1,1,0,t,1,1.7657189,None,0,1,1,7,12.5978702,,,,,,,,,12.5818332,12.5978702,13.0813405,13.0934899,13.0969704,13.0969704,14.8638976,t,1,1.7657189,None,13.0969704,586133,1,2025-11-21_13h38.45.726,solo project,,2025.1.1,60.94855456,2025-11-21 13h39.04.363099 +0530
30,(6 × 8) + 10 = 58,t,hard,3,3,0,t,1,2.859,None,0,3,3,29,16.7629114,,,,,,,,,16.7469516,16.7629114,17.245729,17.2555654,17.2618132,17.2618132,20.1286308,t,1,2.859,None,17.2618132,586133,1,2025-11-21_13h38.45.726,solo project,,2025.1.1,60.94855456,2025-11-21 13h39.04.363099 +0530
21,(18 ÷ 3) + 12 = 18,t,hard,4,4,0,t,1,3.6038673,None,0,4,4,20,20.144213,,,,,,,,,20.1291006,20.144213,20.6285289,20.6362094,20.6443421,20.6443421,24.2609414,t,1,3.6038673,None,20.6443421,586133,1,2025-11-21_13h38.45.726,solo project,,2025.1.1,60.94855456,2025-11-21 13h39.04.363099 +0530
38,(36 − 9) ÷ 3 = 8,f,hard,5,5,0,f,1,8.1716055,None,0,5,5,37,24.2759068,,,,,,,,,24.2612977,24.2759068,24.7604943,24.7866751,24.7899347,24.7899347,32.9729341,f,1,8.1716055,None,24.7899347,586133,1,2025-11-21_13h38.45.726,solo project,,2025.1.1,60.94855456,2025-11-21 13h39.04.363099 +0530
3,9 + 1= 10,t,easy,6,6,0,t,1,1.418039,None,0,6,6,2,32.9890283,,,,,,,,,32.9733461,32.9890283,33.4733766,33.4785325,33.4885358,33.4885358,34.9216906,t,1,1.418039,None,33.4885358,586133,1,2025-11-21_13h38.45.726,solo project,,2025.1.1,60.94855456,2025-11-21 13h39.04.363099 +0530
26,(17 × 3) − 8 = 43,t,hard,7,7,0,t,1,15.1993042,None,0,7,7,25,34.9375546,,,,,,,,,34.9220036,34.9375546,35.4219998,35.4309919,35.4379035,35.4379035,50.6483291,t,1,15.1993042,None,35.4379035,586133,1,2025-11-21_13h38.45.726,solo project,,2025.1.1,60.94855456,2025-11-21 13h39.04.363099 +0530
37,(21 × 3) − 15 = 50,f,hard,9,9,0,f,1,6.9906278,None,0,9,9,36,61.193547,,,,,,,,,61.178029,61.193547,61.6776133,61.6831774,61.693514,61.693514,68.6908615,f,1,6.9906278,None,61.693514,586133,1,2025-11-21_13h38.45.726,solo project,,2025.1.1,60.94855456,2025-11-21 13h39.04.363099 +0530
4,6 x 2 = 12,t,easy,10,10,0,t,1,1.4456013,None,0,10,10,3,68.7070884,,,,,,,,,68.691146,68.7070884,69.1909248,69.1973897,69.2062641,69.2062641,70.6572412,t,1,1.4456013,None,69.2062641,586133,1,2025-11-21_13h38.45.726,solo project,,2025.1.1,60.94855456,2025-11-21 13h39.04.363099 +0530
