key_resp.corr,key_resp.rt,,,seq rt,random rt
1,1.022183,,,1.022183,0.6376809
1,0.3789133,,,0.3789133,0.5026622
1,0.3324862,,,0.3324862,0.5704903
1,0.2990265,,,0.2990265,0.4521657
1,0.3179225,,,0.3179225,0.4913304
1,0.2359608,,,0.2359608,0.6015434
1,0.2913452,,,0.2913452,0.5291324
1,0.3368505,,,0.3368505,0.4767604
1,0.2600152,,,0.2600152,0.4419061
1,0.3231642,,,0.3231642,0.5999385
1,0.306295,,,0.306295,0.5025922
1,0.3892328,,,0.3892328,0.5206778
1,0.3250749,,,0.3250749,0.5400624
1,0.4593895,,,0.4593895,0.5539677
1,1.4101152,,,1.4101152,0.5693851
1,0.3393418,,,0.3393418,0.6106422
1,0.3249999,,,0.3249999,0.5173674
1,0.3721145,,,0.3721145,0.4371133
1,0.292634,,,0.292634,0.786266
1,0.2891432,,,0.2891432,0.5360349
1,0.410915,,,0.410915,0.4440072
1,0.3813493,,,0.3813493,0.6531654
1,0.3406845,,,0.3406845,0.3877842
1,0.3059527,,,0.3059527,0.4464083
1,0.4325569,,,0.4325569,0.4592927
1,0.4437721,,,0.4437721,0.4556123
1,0.3093915,,,0.3093915,0.5153146
1,0.331072,,,0.331072,0.6048919
1,0.3216089,,,0.3216089,0.7333799
1,0.3187423,,,0.3187423,1.0855424
1,0.2986247,,,0.2986247,0.9760703
1,0.2763931,,,0.2763931,0.9945064
1,0.2702951,,,0.2702951,0.4147076
1,0.3227276,,,0.3227276,1.1790584
1,0.2961683,,,0.2961683,0.3522576
1,0.558705,,,0.558705,6.0342761
1,0.4083314,,,0.4083314,0.8362508
1,0.4363025,,,0.4363025,1.6216298
1,0.2508024,,,0.2508024,0.6501334
1,0.1665636,,,0.1665636,0.7124937
1,0.4817765,,,0.4817765,0.3542012
1,0.3908082,,,0.3908082,0.5617353
1,0.3374454,,,0.3374454,0.5522059
1,0.1890122,,,0.1890122,0.6229934
1,0.2805758,,,0.2805758,0.7350071
1,0.2864708,,,0.2864708,1.0228198
1,0.0068259,,,0.0068259,0.6147175
1,0.7025788,,,0.7025788,0.5732181
1,0.5946464,,,0.5946464,0.6910128
1,0.5109868,,,0.5109868,0.5857357
1,0.4218487,,,0.4218487,0.3962942
1,0.5038362,,,0.5038362,0.4880265
1,0.3472023,,,0.3472023,0.5979219
1,0.3988215,,,0.3988215,0.628484
1,0.3072948,,,0.3072948,0.4924751
1,0.2919613,,,0.2919613,0.6726233
1,0.4407489,,,0.4407489,0.7819968
1,0.3332736,,,0.3332736,0.4624482
1,0.3203909,,,0.3203909,1.9912428
1,0.3541415,,,0.3541415,0.436463
1,0.6058592,,,0.6058592,0.9998204
1,0.3564764,,,0.3564764,0.619701
1,0.2964127,,,0.2964127,0.5791568
1,0.3867158,,,0.3867158,0.6631785
1,0.2548961,,,0.2548961,0.5863489
1,0.2921239,,,0.2921239,0.5882847
1,0.3533769,,,0.3533769,0.4991824
1,0.318678,,,0.318678,0.6398234
1,0.3231367,,,0.3231367,0.8083497
1,0.08473,,,0.08473,1.8794315
1,0.3348473,,,0.3348473,0.3923838
1,0.3418322,,,0.3418322,0.7329725
1,0.4683176,,,0.4683176,0.5234083
1,0.3863544,,,0.3863544,0.4462094
1,0.3047734,,,0.3047734,0.6692055
1,0.3541597,,,0.3541597,0.9812665
1,0.2957368,,,0.2957368,0.6213386
1,0.3121778,,,0.3121778,0.3637886
1,0.3255013,,,0.3255013,0.4005784
1,0.3268481,,,0.3268481,2.022796
1,0.318613,,,0.318613,0.7723532
1,0.2984227,,,0.2984227,0.580525
1,0.4084417,,,0.4084417,0.4810947
1,0.2660902,,,0.2660902,0.5345649
1,0.294268,,,0.294268,0.4842149
1,0.3160559,,,0.3160559,0.6168505
1,0.3038406,,,0.3038406,0.7049945
1,0.336964,,,0.336964,0.5444506
1,0.3332951,,,0.3332951,2.2038321
1,0.2725113,,,0.2725113,0.4841447
1,0.2600892,,,0.2600892,0.4303458
1,0.3043336,,,0.3043336,0.6590047
1,0.2812034,,,0.2812034,0.7351788
1,0.3763046,,,0.3763046,0.9960244
1,0.3560207,,,0.3560207,0.6502891
1,0.3412592,,,0.3412592,0.4374465
1,0.2508711,,,0.2508711,0.7257228
1,0.326957,,,0.326957,
1,0.1505649,,,0.1505649,
1,0.3465649,,,0.3465649,
1,0.6376809,,,,
1,0.5026622,,,0.348658314,0.72942667
1,0.5704903,,,,
1,0.4521657,,,,
1,0.4913304,,,,
1,0.6015434,,,,
1,0.5291324,,,,
1,0.4767604,,,,
1,0.4419061,,,,
1,0.5999385,,,,
1,0.5025922,,,,
1,0.5206778,,,,
1,0.5400624,,,,
1,0.5539677,,,,
1,0.5693851,,,,
1,0.6106422,,,,
1,0.5173674,,,,
1,0.4371133,,,,
1,0.786266,,,,
1,0.5360349,,,,
1,0.4440072,,,,
1,0.6531654,,,,
1,0.3877842,,,,
1,0.4464083,,,,
1,0.4592927,,,,
1,0.4556123,,,,
1,0.5153146,,,,
1,0.6048919,,,,
1,0.7333799,,,,
1,1.0855424,,,,
1,0.9760703,,,,
1,0.9945064,,,,
1,0.4147076,,,,
1,1.1790584,,,,
1,0.3522576,,,,
,,,,,
1,6.0342761,,,,
1,0.8362508,,,,
1,1.6216298,,,,
1,0.6501334,,,,
1,0.7124937,,,,
1,0.3542012,,,,
1,0.5617353,,,,
1,0.5522059,,,,
1,0.6229934,,,,
1,0.7350071,,,,
1,1.0228198,,,,
1,0.6147175,,,,
1,0.5732181,,,,
1,0.6910128,,,,
1,0.5857357,,,,
1,0.3962942,,,,
1,0.4880265,,,,
1,0.5979219,,,,
1,0.628484,,,,
1,0.4924751,,,,
1,0.6726233,,,,
1,0.7819968,,,,
1,0.4624482,,,,
1,1.9912428,,,,
1,0.436463,,,,
1,0.9998204,,,,
1,0.619701,,,,
1,0.5791568,,,,
1,0.6631785,,,,
1,0.5863489,,,,
1,0.5882847,,,,
1,0.4991824,,,,
1,0.6398234,,,,
1,0.8083497,,,,
1,1.8794315,,,,
1,0.3923838,,,,
1,0.7329725,,,,
1,0.5234083,,,,
1,0.4462094,,,,
1,0.6692055,,,,
1,0.9812665,,,,
1,0.6213386,,,,
,,,,,
1,0.3637886,,,,
1,0.4005784,,,,
,,,,,
1,2.022796,,,,
1,0.7723532,,,,
1,0.580525,,,,
1,0.4810947,,,,
1,0.5345649,,,,
1,0.4842149,,,,
1,0.6168505,,,,
1,0.7049945,,,,
1,0.5444506,,,,
1,2.2038321,,,,
1,0.4841447,,,,
1,0.4303458,,,,
1,0.6590047,,,,
1,0.7351788,,,,
1,0.9960244,,,,
1,0.6502891,,,,
1,0.4374465,,,,
1,0.7257228,,,,
