staircase.thisTrialN,staircase.stepSize,staircase.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,staircase.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
0,2,10,0.0370583,,0.0197664,0.0370583,0.5026465,0.5026465,0.537676,0.8042695,1.5408869,left,-10,1,1,0.9389275,921248,1,2025-09-04_20h38.24.762,adaptive_staircase,,2025.1.1,60.06103401,2025-09-04 20h38.25.710396 +0530
1,2,8,1.5515956,,1.5410328,1.5515956,2.0523658,2.0523658,2.0523658,2.3521554,2.4193054,right,8,1,1,0.3617528,921248,1,2025-09-04_20h38.24.762,adaptive_staircase,,2025.1.1,60.06103401,2025-09-04 20h38.25.710396 +0530
2,2,6,2.4353003,,2.4195069,2.4353003,2.9189722,2.9189722,2.9361241,3.2202226,3.5682477,left,-6,1,1,0.6281669,921248,1,2025-09-04_20h38.24.762,adaptive_staircase,,2025.1.1,60.06103401,2025-09-04 20h38.25.710396 +0530
3,1,4,3.5847626,,3.5684238,3.5847626,4.0680943,4.0680943,4.0847639,4.3688413,4.7697843,left,-4,0,0,0.7009932,921248,1,2025-09-04_20h38.24.762,adaptive_staircase,,2025.1.1,60.06103401,2025-09-04 20h38.25.710396 +0530
4,1,5,4.7845626,,4.7699457,4.7845626,5.2840174,5.2840174,5.2840174,5.5854523,5.9865078,right,5,1,1,0.7003659,921248,1,2025-09-04_20h38.24.762,adaptive_staircase,,2025.1.1,60.06103401,2025-09-04 20h38.25.710396 +0530
5,1,5,6.0014504,,5.9867106,6.0014504,6.5014601,6.5014601,6.5014601,6.8009036,7.0691401,right,5,1,1,0.5650378,921248,1,2025-09-04_20h38.24.762,adaptive_staircase,,2025.1.1,60.06103401,2025-09-04 20h38.25.710396 +0530
6,1,5,7.0843484,,7.0694305,7.0843484,7.5845101,7.5845101,7.5845101,7.8840978,8.0011092,left,-5,1,1,0.4115197,921248,1,2025-09-04_20h38.24.762,adaptive_staircase,,2025.1.1,60.06103401,2025-09-04 20h38.25.710396 +0530
7,1,4,8.0173401,,8.0013557,8.0173401,8.5004886,8.5004886,8.5173337,8.799983,8.9510275,left,-4,1,1,0.4422837,921248,1,2025-09-04_20h38.24.762,adaptive_staircase,,2025.1.1,60.06103401,2025-09-04 20h38.25.710396 +0530
8,1,4,8.9669532,,8.9512891,8.9669532,9.4504015,9.4504015,9.4665519,9.7507804,9.8511271,right,4,1,1,0.391626,921248,1,2025-09-04_20h38.24.762,adaptive_staircase,,2025.1.1,60.06103401,2025-09-04 20h38.25.710396 +0530
9,1,4,9.867333,,9.8520356,9.867333,10.3496721,10.3496721,10.3666608,10.6484195,10.7172488,right,4,1,1,0.3607759,921248,1,2025-09-04_20h38.24.762,adaptive_staircase,,2025.1.1,60.06103401,2025-09-04 20h38.25.710396 +0530
10,1,3,10.7331134,,10.7174624,10.7331134,11.2335529,11.2335529,11.2335529,11.5486687,11.6164642,right,3,1,1,0.3728851,921248,1,2025-09-04_20h38.24.762,adaptive_staircase,,2025.1.1,60.06103401,2025-09-04 20h38.25.710396 +0530
11,1,3,11.6332982,,11.6168008,11.6332982,12.1165133,12.1165133,12.1332825,12.4165772,12.4342121,right,3,1,1,0.30594,921248,1,2025-09-04_20h38.24.762,adaptive_staircase,,2025.1.1,60.06103401,2025-09-04 20h38.25.710396 +0530
12,1,3,12.4491012,,12.4344817,12.4491012,12.9491895,12.9491895,12.9491895,13.2493266,13.3159538,right,3,1,1,0.3519684,921248,1,2025-09-04_20h38.24.762,adaptive_staircase,,2025.1.1,60.06103401,2025-09-04 20h38.25.710396 +0530
13,1,2,13.3325889,,13.3163022,13.3325889,13.8147986,13.8147986,13.8477313,14.1177814,14.1319934,left,-2,1,1,0.3104542,921248,1,2025-09-04_20h38.24.762,adaptive_staircase,,2025.1.1,60.06103401,2025-09-04 20h38.25.710396 +0530
14,1,2,14.1480054,,14.1323259,14.1480054,14.6318768,14.6318768,14.648003,14.9484519,15.0149379,right,2,1,1,0.3760762,921248,1,2025-09-04_20h38.24.762,adaptive_staircase,,2025.1.1,60.06103401,2025-09-04 20h38.25.710396 +0530
15,0,2,15.0324857,,15.0151786,15.0324857,15.5146144,15.5146144,15.5493352,15.8159896,15.8175289,right,2,0,0,0.2982673,921248,1,2025-09-04_20h38.24.762,adaptive_staircase,,2025.1.1,60.06103401,2025-09-04 20h38.25.710396 +0530
16,0,2,15.8316083,,15.8178683,15.8316083,16.3317399,16.3317399,16.3317399,16.6313917,16.8655104,left,-2,1,1,0.5293329,921248,1,2025-09-04_20h38.24.762,adaptive_staircase,,2025.1.1,60.06103401,2025-09-04 20h38.25.710396 +0530
17,0,2,16.8819533,,16.8658297,16.8819533,17.3806359,17.3806359,17.3806359,17.6808897,17.8489622,left,-2,1,1,0.4632888,921248,1,2025-09-04_20h38.24.762,adaptive_staircase,,2025.1.1,60.06103401,2025-09-04 20h38.25.710396 +0530
18,5,2,17.8649377,,17.8492472,17.8649377,18.3644156,18.3644156,18.3802015,18.6635844,19.0472941,left,-2,1,1,0.6783555,921248,1,2025-09-04_20h38.24.762,adaptive_staircase,,2025.1.1,60.06103401,2025-09-04 20h38.25.710396 +0530
19,5,1,19.0639682,,19.047556,19.0639682,19.5454914,19.5454914,19.5808066,19.8467014,19.9969888,right,1,1,1,0.4442219,921248,1,2025-09-04_20h38.24.762,adaptive_staircase,,2025.1.1,60.06103401,2025-09-04 20h38.25.710396 +0530
20,5,1,20.0130939,,19.997276,20.0130939,20.5118876,20.5118876,20.529524,20.8135863,21.1639081,right,1,1,1,0.6477161,921248,1,2025-09-04_20h38.24.762,adaptive_staircase,,2025.1.1,60.06103401,2025-09-04 20h38.25.710396 +0530
21,5,1,21.1802879,,21.164234,21.1802879,21.6626362,21.6626362,21.6792481,21.9626694,22.1625694,left,-1,0,0,0.4873688,921248,1,2025-09-04_20h38.24.762,adaptive_staircase,,2025.1.1,60.06103401,2025-09-04 20h38.25.710396 +0530
22,5,6,22.179859,,22.1629266,22.179859,22.6620057,22.6620057,22.6951712,22.9617889,23.3619071,left,-6,1,1,0.6909639,921248,1,2025-09-04_20h38.24.762,adaptive_staircase,,2025.1.1,60.06103401,2025-09-04 20h38.25.710396 +0530
