delay,freq,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,,,,,,,,,,,,,,,,,,,
0.7,1000,exp,0,0,0,space,0.6951089,None,300,1,[2.752301099942997],[2.7523141999263316],0,0,0,8,0.0481732,,0.0334261,0.0481732,0.9992494,0.9992494,1.049063,1.7075695,space,0.6951089,None,1.7085048,2.415517767,2.7310323,2.7158863,2.7169915,2.7310323,2.7310323,2.7310323,5.4837704,300,1,[2.752301099942997],[2.7523141999263316],paricipant 1,1,2025-11-11_19h03.31.385,intentional binding,,2025.1.1,59.70780197,2025-11-11 19h03.44.965161 +0530,,,,,,,,,,,,,,,,,,233.973064,average of expected
0.1,1000,exp,1,1,0,space,0.403375,None,200,1,[2.3828566001029685],[2.3828693000832573],0,1,1,9,5.4969607,,5.4841318,5.4969607,6.4971051,6.4971051,6.4971051,6.916519,space,0.403375,None,6.9176593,7.030513067,7.3460912,7.3251616,7.3258886,7.3460912,7.3460912,7.3460912,9.7293809,200,1,[2.3828566001029685],[2.3828693000832573],paricipant 1,1,2025-11-11_19h03.31.385,intentional binding,,2025.1.1,59.70780197,2025-11-11 19h03.44.965161 +0530,,,,,,,,,,,,,,,,,,256.4646465,average of unexpected
0.7,1000,exp,2,2,0,space,0.3693077,None,450,1,[2.1360554000129923],[2.1360654999734834],0,2,2,5,9.7455219,,9.7296812,9.7455219,10.745104,10.745104,10.745104,11.1291062,space,0.3693077,None,11.1302127,11.82933567,12.1432308,12.1249181,12.1258107,12.1432308,12.1432308,12.1432308,14.2796648,450,1,[2.1360554000129923],[2.1360654999734834],paricipant 1,1,2025-11-11_19h03.31.385,intentional binding,,2025.1.1,59.70780197,2025-11-11 19h03.44.965161 +0530,,,,,,,,,,,,,,,,,,,
0.4,1000,exp,3,3,0,space,0.4750082,None,230,1,[2.801697500050068],[2.8017100000288337],0,3,3,4,14.293618,,14.2799374,14.293618,15.293805,15.293805,15.293805,15.7779227,space,0.4750082,None,15.7787859,16.17752157,16.4917266,16.4743135,16.4755651,16.4917266,16.4917266,16.4917266,19.2937907,230,1,[2.801697500050068],[2.8017100000288337],paricipant 1,1,2025-11-11_19h03.31.385,intentional binding,,2025.1.1,59.70780197,2025-11-11 19h03.44.965161 +0530,,,,,,,,,,,,,,,,,,-22.49158249,difference
0.7,1000,exp,4,4,0,space,0.4269413,None,350,1,[2.400325099937618],[2.400335200014524],0,4,4,11,19.3075056,,19.2940523,19.3075056,20.3081187,20.3081187,20.3081187,20.7418651,space,0.4269413,None,20.7433019,21.44152917,21.7561257,21.7349833,21.735634,21.7561257,21.7561257,21.7561257,24.1568128,350,1,[2.400325099937618],[2.400335200014524],paricipant 1,1,2025-11-11_19h03.31.385,intentional binding,,2025.1.1,59.70780197,2025-11-11 19h03.44.965161 +0530,,,,,,,,,,,,,,,,,,,
0.1,400,unexp,5,5,0,space,0.4278847,None,200,1,[4.69854520005174],[4.698560200049542],0,5,5,0,24.172496,,24.157132,24.172496,25.1571798,25.1571798,25.1728398,25.5900069,space,0.4278847,None,25.5912282,25.69042797,26.0051175,25.9899059,25.9907614,26.0051175,26.0051175,26.0051175,30.7041502,200,1,[4.69854520005174],[4.698560200049542],paricipant 1,1,2025-11-11_19h03.31.385,intentional binding,,2025.1.1,59.70780197,2025-11-11 19h03.44.965161 +0530,,,,,,,,,,,,,,,,,,,
0.7,400,unexp,6,6,0,space,0.6290965,None,150,1,[3.433131300029345],[3.4331497999373823],0,6,6,2,30.7201528,,30.7045237,30.7201528,31.7207872,31.7207872,31.7207872,32.3549075,space,0.6290965,None,32.356174,33.06961207,33.4013839,33.3709529,33.3717011,33.4013839,33.4013839,33.4013839,36.8350576,150,1,[3.433131300029345],[3.4331497999373823],paricipant 1,1,2025-11-11_19h03.31.385,intentional binding,,2025.1.1,59.70780197,2025-11-11 19h03.44.965161 +0530,,,,,,,,,,,,,,,,,,,
0.4,1000,exp,7,7,0,space,0.3804016,None,250,1,[4.065287099918351],[4.065298600005917],0,7,7,7,36.8500564,,36.8354509,36.8500564,37.8349217,37.8349217,37.8523284,38.2189939,space,0.3804016,None,38.2200713,38.63482557,38.9661886,38.9379788,38.9386449,38.9661886,38.9661886,38.9661886,43.0319131,250,1,[4.065287099918351],[4.065298600005917],paricipant 1,1,2025-11-11_19h03.31.385,intentional binding,,2025.1.1,59.70780197,2025-11-11 19h03.44.965161 +0530,,,,,,,,,,,,,,,,,,,
0.1,1000,exp,8,8,0,space,0.4297952,None,100,1,[2.4010784999700263],[2.401093899970874],0,8,8,6,43.0481792,,43.0322059,43.0481792,44.0486769,44.0486769,44.0486769,44.4834842,space,0.4297952,None,44.4848504,44.59882017,44.913528,44.8987398,44.8996475,44.913528,44.913528,44.913528,47.3151467,100,1,[2.4010784999700263],[2.401093899970874],paricipant 1,1,2025-11-11_19h03.31.385,intentional binding,,2025.1.1,59.70780197,2025-11-11 19h03.44.965161 +0530,,,,,,,,,,,,,,,,,,,
0.4,400,unexp,9,9,0,space,1.1563525,None,250,1,[3.117270499933511],[3.117283600033261],0,9,9,1,47.3288743,,47.3155623,47.3288743,48.3314444,48.3314444,48.3314444,49.4966047,space,1.1563525,None,49.4977278,49.91298677,50.2271821,50.2075689,50.2085207,50.2271821,50.2271821,50.2271821,53.3448951,250,1,[3.117270499933511],[3.117283600033261],paricipant 1,1,2025-11-11_19h03.31.385,intentional binding,,2025.1.1,59.70780197,2025-11-11 19h03.44.965161 +0530,,,,,,,,,,,,,,,,,,,
