problem_id,problem,correct,difficulty,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,instr_text.started,instr_key.started,instructions.stopped,instr_key.keys,instr_key.rt,instr_key.duration,fixation.started,fix.started,fixation.stopped,trial.started,problem_text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,fix.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,0.0034757,0.0080249,0.0080249,1.9368686,space,1.9100775,None,,,,,,,,,,,,,paricipant 8,1,2025-11-21_13h49.02.134,solo project,,2025.1.1,59.66259613,2025-11-21 13h49.13.939027 +0530
34,(22 × 3) − 11 = 50,f,hard,0,0,0,f,1,4.3650141,None,0,0,0,33,1.9677866,,,,,,,,,1.953656,1.9677866,2.4469099,2.4627795,2.466641,2.466641,6.8450779,f,1,4.3650141,None,,paricipant 8,1,2025-11-21_13h49.02.134,solo project,,2025.1.1,59.66259613,2025-11-21 13h49.13.939027 +0530
15,4 + 9 = 10,f,easy,1,1,0,f,1,2.7954905,None,0,1,1,14,6.8610398,,,,,,,,,6.8453402,6.8610398,7.3445688,7.3522102,7.3607373,7.3607373,10.1603451,f,1,2.7954905,None,7.3607373,paricipant 8,1,2025-11-21_13h49.02.134,solo project,,2025.1.1,59.66259613,2025-11-21 13h49.13.939027 +0530
11,8 - 3 = 4,f,easy,2,2,0,f,1,1.6314452,None,0,2,2,10,10.176177,,,,,,,,,10.1606223,10.176177,10.6596359,10.6651913,10.6759242,10.6759242,12.3089187,f,1,1.6314452,None,10.6759242,paricipant 8,1,2025-11-21_13h49.02.134,solo project,,2025.1.1,59.66259613,2025-11-21 13h49.13.939027 +0530
25,(18 + 9) ÷ 3 = 9,t,hard,3,3,0,t,1,4.7518832,None,0,3,3,24,12.3259378,,,,,,,,,12.309174,12.3259378,12.809044,12.8151858,12.8255729,12.8255729,17.5914612,t,1,4.7518832,None,12.8255729,paricipant 8,1,2025-11-21_13h49.02.134,solo project,,2025.1.1,59.66259613,2025-11-21 13h49.13.939027 +0530
4,6 x 2 = 12,t,easy,5,5,0,t,1,1.5784701,None,0,5,5,3,23.6545295,,,,,,,,,23.639744,23.6545295,24.1374965,24.1430976,24.1538231,24.1538231,25.7378476,t,1,1.5784701,None,24.1538231,paricipant 8,1,2025-11-21_13h49.02.134,solo project,,2025.1.1,59.66259613,2025-11-21 13h49.13.939027 +0530
37,(21 × 3) − 15 = 50,f,hard,7,7,0,f,1,9.4588917,None,0,7,7,36,32.1838174,,,,,,,,,32.1678549,32.1838174,32.6678702,32.6726809,32.6841397,32.6841397,42.1471821,f,1,9.4588917,None,32.6841397,paricipant 8,1,2025-11-21_13h49.02.134,solo project,,2025.1.1,59.66259613,2025-11-21 13h49.13.939027 +0530
6,10 -2 = 8,t,easy,8,8,0,t,1,1.3300201,None,0,8,8,5,42.1626403,,,,,,,,,42.1475261,42.1626403,42.6470551,42.6514844,42.6631331,42.6631331,43.9964589,t,1,1.3300201,None,42.6631331,paricipant 8,1,2025-11-21_13h49.02.134,solo project,,2025.1.1,59.66259613,2025-11-21 13h49.13.939027 +0530
29,(9 × 7) − 20 = 43,t,hard,9,9,0,t,1,4.2760945,None,0,9,9,28,44.0121346,,,,,,,,,43.9968074,44.0121346,44.4966869,44.5053457,44.512769,44.512769,48.7936433,t,1,4.2760945,None,44.512769,paricipant 8,1,2025-11-21_13h49.02.134,solo project,,2025.1.1,59.66259613,2025-11-21 13h49.13.939027 +0530
26,(17 × 3) − 8 = 43,t,hard,10,10,0,t,1,8.8386033,None,0,10,10,25,48.809762,,,,,,,,,48.7938489,48.809762,49.294012,49.2992124,49.3096505,49.3096505,58.1582076,t,1,8.8386033,None,,paricipant 8,1,2025-11-21_13h49.02.134,solo project,,2025.1.1,59.66259613,2025-11-21 13h49.13.939027 +0530
