problem_id,problem,correct,difficulty,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,instr_text.started,instr_key.started,instructions.stopped,instr_key.keys,instr_key.rt,instr_key.duration,fixation.started,fix.started,fixation.stopped,trial.started,problem_text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,fix.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,0.0032412,0.0073337,0.0073337,2.2719234,space,2.2517758,None,,,,,,,,,,,,,participant 10,1,2025-11-21_14h55.46.444,solo project,,2025.1.1,59.67067751,2025-11-21 14h56.07.481259 +0530
12,7 + 3 = 15,f,easy,0,0,0,f,1,2.2282895,None,0,0,0,11,2.2919807,,,,,,,,,2.2872563,2.2919807,2.7825023,2.7960725,2.7997559,2.7997559,5.0320666,f,1,2.2282895,None,,participant 10,1,2025-11-21_14h55.46.444,solo project,,2025.1.1,59.67067751,2025-11-21 14h56.07.481259 +0530
36,(14 + 16) ÷ 2 = 18,f,hard,1,1,0,f,1,3.7147552,None,0,1,1,35,5.0481774,,,,,,,,,5.0323547,5.0481774,5.53222,5.5477703,5.5518095,5.5518095,9.2807243,f,1,3.7147552,None,5.5518095,participant 10,1,2025-11-21_14h55.46.444,solo project,,2025.1.1,59.67067751,2025-11-21 14h56.07.481259 +0530
9,12 - 4 = 8,t,easy,2,2,0,t,1,2.0441416,None,0,2,2,8,9.2970658,,,,,,,,,9.2810626,9.2970658,9.7806927,9.7882249,9.7964303,9.7964303,11.8458484,t,1,2.0441416,None,9.7964303,participant 10,1,2025-11-21_14h55.46.444,solo project,,2025.1.1,59.67067751,2025-11-21 14h56.07.481259 +0530
25,(18 + 9) ÷ 3 = 9,t,hard,3,3,0,t,1,4.2935581,None,0,3,3,24,11.862076,,,,,,,,,11.8461293,11.862076,12.3460782,12.3526103,12.3615075,12.3615075,16.6605204,t,1,4.2935581,None,12.3615075,participant 10,1,2025-11-21_14h55.46.444,solo project,,2025.1.1,59.67067751,2025-11-21 14h56.07.481259 +0530
37,(21 × 3) − 15 = 50,f,hard,4,4,0,f,1,6.6013038,None,0,4,4,36,16.676678,,,,,,,,,16.6607886,16.676678,17.1609104,17.1703511,17.1764491,17.1764491,23.7916563,f,1,6.6013038,None,17.1764491,participant 10,1,2025-11-21_14h55.46.444,solo project,,2025.1.1,59.67067751,2025-11-21 14h56.07.481259 +0530
20,11 -1 = 15,f,easy,5,5,0,f,1,3.731809,None,0,5,5,19,23.8070275,,,,,,,,,23.7919926,23.8070275,24.289861,24.2943537,24.3061759,24.3061759,28.0394981,f,1,3.731809,None,24.3061759,participant 10,1,2025-11-21_14h55.46.444,solo project,,2025.1.1,59.67067751,2025-11-21 14h56.07.481259 +0530
1,5 + 7 = 12,t,easy,6,6,0,t,1,2.5188929,None,0,6,6,0,28.0549328,,,,,,,,,28.0400804,28.0549328,28.5393396,28.5435919,28.5549348,28.5549348,31.088595,t,1,2.5188929,None,28.5549348,participant 10,1,2025-11-21_14h55.46.444,solo project,,2025.1.1,59.67067751,2025-11-21 14h56.07.481259 +0530
24,(56 ÷ 7) + 9 = 17,t,hard,7,7,0,t,1,6.9514319,None,0,7,7,23,31.1038498,,,,,,,,,31.0888612,31.1038498,31.5878759,31.5924324,31.6044808,31.6044808,38.5678435,t,1,6.9514319,None,31.6044808,participant 10,1,2025-11-21_14h55.46.444,solo project,,2025.1.1,59.67067751,2025-11-21 14h56.07.481259 +0530
38,(36 − 9) ÷ 3 = 8,f,hard,8,8,0,f,1,7.9363399,None,0,8,8,37,38.5840724,,,,,,,,,38.5681858,38.5840724,39.0682041,39.0719321,39.0843615,39.0843615,47.0312009,f,1,7.9363399,None,,participant 10,1,2025-11-21_14h55.46.444,solo project,,2025.1.1,59.67067751,2025-11-21 14h56.07.481259 +0530
7,3 + 6 = 9,t,easy,9,9,0,t,1,1.8745363,None,0,9,9,6,47.0474632,,,,,,,,,47.0314678,47.0474632,47.5314165,47.5359998,47.5470006,47.5470006,49.4304392,t,1,1.8745363,None,47.5470006,participant 10,1,2025-11-21_14h55.46.444,solo project,,2025.1.1,59.67067751,2025-11-21 14h56.07.481259 +0530
39,(40 ÷ 5) + 9 = 20,f,hard,10,10,0,f,1,7.5544966,None,0,10,10,38,49.445472,,,,,,,,,49.4308378,49.445472,49.9297421,49.9341206,49.9466757,49.9466757,57.5091248,f,1,7.5544966,None,49.9466757,participant 10,1,2025-11-21_14h55.46.444,solo project,,2025.1.1,59.67067751,2025-11-21 14h56.07.481259 +0530
5,4 + 4 = 8,t,easy,11,11,0,t,1,1.4867504,None,0,11,11,4,57.5253,,,,,,,,,57.5093876,57.5253,58.0086711,58.0122824,58.0254603,58.0254603,59.5258949,t,1,1.4867504,None,58.0254603,participant 10,1,2025-11-21_14h55.46.444,solo project,,2025.1.1,59.67067751,2025-11-21 14h56.07.481259 +0530
35,(48 ÷ 6) + 10 = 20,f,hard,12,12,0,f,1,8.5763471,None,0,12,12,34,59.5422492,,,,,,,,,59.5262962,59.5422492,60.0255317,60.032095,60.0413534,60.0413534,68.6214703,f,1,8.5763471,None,60.0413534,participant 10,1,2025-11-21_14h55.46.444,solo project,,2025.1.1,59.67067751,2025-11-21 14h56.07.481259 +0530
17,3 + 3 = 10,f,easy,13,13,0,f,1,2.3784808,None,0,13,13,16,68.6372095,,,,,,,,,68.6230051,68.6372095,69.1212097,69.1265394,69.1370526,69.1370526,71.5207102,f,1,2.3784808,None,69.1370526,participant 10,1,2025-11-21_14h55.46.444,solo project,,2025.1.1,59.67067751,2025-11-21 14h56.07.481259 +0530
16,10 -7 = 1,f,easy,14,14,0,f,1,1.8446054,None,0,14,14,15,71.5363549,,,,,,,,,71.5212276,71.5363549,72.0200622,72.0247345,72.0360762,72.0360762,73.8864634,f,1,1.8446054,None,72.0360762,participant 10,1,2025-11-21_14h55.46.444,solo project,,2025.1.1,59.67067751,2025-11-21 14h56.07.481259 +0530
29,(9 × 7) − 20 = 43,t,hard,15,15,0,t,1,6.3821294,None,0,15,15,28,73.9022213,,,,,,,,,73.8867431,73.9022213,74.3861305,74.3913682,74.4020723,74.4020723,80.7862775,t,1,6.3821294,None,74.4020723,participant 10,1,2025-11-21_14h55.46.444,solo project,,2025.1.1,59.67067751,2025-11-21 14h56.07.481259 +0530
19,2 x 4 = 12,f,easy,16,16,0,f,1,1.5510345,None,0,16,16,18,80.7985053,,,,,,,,,80.7867501,80.7985053,81.2823942,81.290104,81.2991723,81.2991723,82.8662235,f,1,1.5510345,None,81.2991723,participant 10,1,2025-11-21_14h55.46.444,solo project,,2025.1.1,59.67067751,2025-11-21 14h56.07.481259 +0530
40,(6 × 8) + 10 = 60,f,hard,17,17,0,f,1,7.432661,None,0,17,17,39,82.8811447,,,,,,,,,82.8666649,82.8811447,83.365387,83.3717211,83.3824933,83.3824933,90.8288147,f,1,7.432661,None,83.3824933,participant 10,1,2025-11-21_14h55.46.444,solo project,,2025.1.1,59.67067751,2025-11-21 14h56.07.481259 +0530
31,(32 ÷ 4) + 11 = 20,f,hard,18,18,0,f,1,4.4990343,None,0,18,18,30,90.8444754,,,,,,,,,90.8292638,90.8444754,91.327782,91.3322828,91.3449189,91.3449189,95.8446255,f,0,4.4990343,None,91.3449189,participant 10,1,2025-11-21_14h55.46.444,solo project,,2025.1.1,59.67067751,2025-11-21 14h56.07.481259 +0530
27,(48 ÷ 6) + 10 = 18,t,hard,19,19,0,t,1,7.2827985,None,0,19,19,26,95.8589647,,,,,,,,,95.8451064,95.8589647,96.3432168,96.3496601,96.3590111,96.3590111,103.6570153,t,1,7.2827985,None,96.3590111,participant 10,1,2025-11-21_14h55.46.444,solo project,,2025.1.1,59.67067751,2025-11-21 14h56.07.481259 +0530
10,2 x 5 =10,t,easy,20,20,0,t,1,1.7516306,None,0,20,20,9,103.6726388,,,,,,,,,103.6573018,103.6726388,104.1563253,104.1630968,104.1728003,104.1728003,105.9393034,t,1,1.7516306,None,104.1728003,participant 10,1,2025-11-21_14h55.46.444,solo project,,2025.1.1,59.67067751,2025-11-21 14h56.07.481259 +0530
2,8 − 3 = 5,t,easy,21,21,0,t,1,3.2369714,None,0,21,21,1,105.9553149,,,,,,,,,105.9398207,105.9553149,106.438535,106.4438388,106.4544096,106.4544096,109.7045367,t,1,3.2369714,None,106.4544096,participant 10,1,2025-11-21_14h55.46.444,solo project,,2025.1.1,59.67067751,2025-11-21 14h56.07.481259 +0530
6,10 -2 = 8,t,easy,22,22,0,t,1,2.9612627,None,0,22,22,5,109.7201393,,,,,,,,,109.7048695,109.7201393,110.2033717,110.2075915,110.2198337,110.2198337,113.1856232,t,1,2.9612627,None,110.2198337,participant 10,1,2025-11-21_14h55.46.444,solo project,,2025.1.1,59.67067751,2025-11-21 14h56.07.481259 +0530
18,12 - 6 =10,f,easy,23,23,0,f,1,3.6411129,None,0,23,23,17,113.2013144,,,,,,,,,113.1858911,113.2013144,113.6861064,113.6920597,113.7021872,113.7021872,117.3522525,f,1,3.6411129,None,,participant 10,1,2025-11-21_14h55.46.444,solo project,,2025.1.1,59.67067751,2025-11-21 14h56.07.481259 +0530
