reaction time hard,rt - easy,,,,
13.5419292,1.6220603,,,,
4.4255653,4.0711743,,,,
3.7633357,5.9384644,,,,
3.9438511,1.5060058,,mean rt - easy,,2.449434932
5.3111213,1.4066173,,mean rt - hard,,7.451809217
5.211076,1.0991184,,difference,,5.002374285
9.302154,1.8309364,,,,
13.0102522,1.4503469,,,,
11.8608217,1.485477,,,,
8.0560913,2.1808799,,,,
6.0267439,2.0664339,,,,
5.4520787,3.2815392,,,,
5.849599,1.681398,,,,
7.0997944,3.3649719,,,,
7.9893114,2.165551,,,,
8.3222034,3.2350313,,,,
7.6738468,1.9496989,,,,
7.2927905,3.4385919,,,,
,2.7649669,,,,
