thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
0,0,0,[np.float64(0.135)],[np.float64(0.19875)],[1],[0],[0],2.2579671,[None],0,0,0,0,0.0371646,,5,0.0226498,0.0371646,0.0371646,0.022678,2.2807703,[np.float64(0.135)],[np.float64(0.19875)],[1],[0],[0],[2.2579671000130475],[None],participant 4,1,2025-10-01_20h06.53.546,untitled,,2025.1.1,60.14176619,2025-10-01 20h11.14.989956 +0530
1,0,1,[np.float64(0.45)],[np.float64(0.1275)],[1],[0],[0],1.2694953,[None],1,0,1,0,2.320031,,5,2.3048948,2.320031,2.320031,0.0238836,3.5745105,[np.float64(0.45)],[np.float64(0.1275)],[1],[0],[0],[1.2694952999590896],[None],participant 4,1,2025-10-01_20h06.53.546,untitled,,2025.1.1,60.14176619,2025-10-01 20h11.14.989956 +0530
2,0,2,[np.float64(0.1175)],[np.float64(-0.11)],[1],[0],[0],0.9585524,['target'],2,0,2,0,3.6204048,,5,3.5955971,3.6204048,3.6204048,0.0208913,4.5542448,[np.float64(0.1175)],[np.float64(-0.11)],[1],[0],[0],[0.9585523999994621],['target'],participant 4,1,2025-10-01_20h06.53.546,untitled,,2025.1.1,60.14176619,2025-10-01 20h11.14.989956 +0530
3,0,3,[np.float64(0.21875)],[np.float64(-0.025)],[1],[0],[0],1.0715036,[None],3,0,3,0,4.5859938,,5,4.5695326,4.5859938,4.5859938,0.0151501,5.64118,[np.float64(0.21875)],[np.float64(-0.025)],[1],[0],[0],[1.071503599989228],[None],participant 4,1,2025-10-01_20h06.53.546,untitled,,2025.1.1,60.14176619,2025-10-01 20h11.14.989956 +0530
4,0,4,[np.float64(0.37125)],[np.float64(-0.335)],[1],[0],[0],1.3259683,[None],4,0,4,0,5.7024317,,10,5.6776507,5.7024317,5.7024317,0.0362175,7.0037988,[np.float64(0.37125)],[np.float64(-0.335)],[1],[0],[0],[1.3259682999923825],[None],participant 4,1,2025-10-01_20h06.53.546,untitled,,2025.1.1,60.14176619,2025-10-01 20h11.14.989956 +0530
5,0,5,[np.float64(-0.14)],[np.float64(-0.22375)],[1],[0],[0],1.3007962,['target'],5,0,5,0,7.0509655,,10,7.0371892,7.0509655,7.0509655,0.0331304,8.3380769,[np.float64(-0.14)],[np.float64(-0.22375)],[1],[0],[0],[1.3007961999974214],['target'],participant 4,1,2025-10-01_20h06.53.546,untitled,,2025.1.1,60.14176619,2025-10-01 20h11.14.989956 +0530
6,0,6,[np.float64(0.03)],[np.float64(-0.22625)],[1],[0],[0],2.2071864,['target'],6,0,6,0,8.3847964,,10,8.3657822,8.3847964,8.3847964,0.0275408,10.5731176,[np.float64(0.03)],[np.float64(-0.22625)],[1],[0],[0],[2.2071863999590278],['target'],participant 4,1,2025-10-01_20h06.53.546,untitled,,2025.1.1,60.14176619,2025-10-01 20h11.14.989956 +0530
7,0,7,[np.float64(0.06375)],[np.float64(0.11375)],[1],[0],[0],1.227007,[None],7,0,7,0,10.6162897,,5,10.5924183,10.6162897,10.6162897,0.0190335,11.8195472,[np.float64(0.06375)],[np.float64(0.11375)],[1],[0],[0],[1.227007000008598],[None],participant 4,1,2025-10-01_20h06.53.546,untitled,,2025.1.1,60.14176619,2025-10-01 20h11.14.989956 +0530
8,0,8,[np.float64(-0.125)],[np.float64(0.185)],[1],[0],[0],1.0837421,['target'],8,0,8,0,11.882229,,10,11.8535218,11.882229,11.882229,0.0337939,12.9374533,[np.float64(-0.125)],[np.float64(0.185)],[1],[0],[0],[1.08374209998874],['target'],participant 4,1,2025-10-01_20h06.53.546,untitled,,2025.1.1,60.14176619,2025-10-01 20h11.14.989956 +0530
9,0,9,[np.float64(-0.32125)],[np.float64(0.195)],[1],[0],[0],1.6159511,['target'],9,0,9,0,12.999478,,10,12.9713141,12.999478,12.999478,0.033435,14.5873819,[np.float64(-0.32125)],[np.float64(0.195)],[1],[0],[0],[1.6159510999568738],['target'],participant 4,1,2025-10-01_20h06.53.546,untitled,,2025.1.1,60.14176619,2025-10-01 20h11.14.989956 +0530
