problem_id,problem,correct,difficulty,correct_raw,difficulty_raw,key_resp.corr_raw,key_resp.duration_raw,key_resp.keys_raw,key_resp.rt_raw,problem_id_raw,problem_raw,thisN_raw,thisRepN_raw,thisTrialN_raw
1,5 + 7 = 12,t,easy,f,easy,1,,f,2.9771799999289215,12,7 + 3 = 15,0,0,0
2,8 − 3 = 5,t,easy,t,hard,1,,t,6.488711199956015,25,(18 + 9) ÷ 3 = 9,1,0,1
3,9 + 1= 10,t,easy,f,hard,0,,t,5.631395699921995,35,(48 ÷ 6) + 10 = 20,2,0,2
4,6 x 2 = 12,t,easy,t,hard,1,,t,5.023807700024918,24,(56 ÷ 7) + 9 = 17,3,0,3
5,4 + 4 = 8,t,easy,f,easy,0,,t,1.9569886999670416,15,4 + 9 = 10,4,0,4
6,10 -2 = 8,t,easy,f,hard,1,,f,8.981231699930504,37,(21 × 3) − 15 = 50,5,0,5
7,3 + 6 = 9,t,easy,t,hard,0,,f,7.542502800002694,31,(32 ÷ 4) + 11 = 20,6,0,6
8,7 + 5 = 12,t,easy,f,easy,1,,f,2.7190924000460654,19,2 x 4 = 12,7,0,7
9,12 - 4 = 8,t,easy,t,hard,1,,t,6.333832499803975,27,(48 ÷ 6) + 10 = 18,8,0,8
10,2 x 5 =10,t,easy,f,easy,1,,f,5.001946700038388,20,11 -1 = 15,9,0,9
11,8 - 3 = 4,f,easy,t,hard,1,,t,3.3532182001508772,22,(28 ÷ 4) + 7 = 14,10,0,10
12,7 + 3 = 15,f,easy,f,easy,1,,f,1.7734646000899374,17,3 + 3 = 10,11,0,11
13,6 x 2 = 14,f,easy,t,hard,1,,t,3.371659900061786,30,(6 × 8) + 10 = 58,12,0,12
14,9 -1 = 5,f,easy,t,easy,1,,t,1.9862729001324624,4,6 x 2 = 12,13,0,13
15,4 + 9 = 10,f,easy,f,hard,1,,f,19.98391590011306,38,(36 − 9) ÷ 3 = 8,14,0,14
16,10 -7 = 1,f,easy,t,hard,1,,t,3.2957944001536816,21,(18 ÷ 3) + 12 = 18,15,0,15
17,3 + 3 = 10,f,easy,t,easy,1,,t,3.149748999858275,8,7 + 5 = 12,16,0,16
18,12 - 6 =10,f,easy,t,easy,1,,t,3.444558000192046,2,8 − 3 = 5,17,0,17
19,2 x 4 = 12,f,easy,t,easy,1,,t,1.2515581999905407,10,2 x 5 =10,18,0,18
20,11 -1 = 15,f,easy,t,hard,1,,t,6.798015600070357,23,(45 − 15) ÷ 5 = 6,19,0,19
21,(18 ÷ 3) + 12 = 18,t,hard,f,hard,1,,f,5.426934299990535,36,(14 + 16) ÷ 2 = 18,20,0,20
22,(28 ÷ 4) + 7 = 14,t,hard,f,hard,1,,f,7.138899100013077,32,(50 − 14) ÷ 6 = 5,21,0,21
23,(45 − 15) ÷ 5 = 6,t,hard,t,easy,1,,t,5.22705029998906,1,5 + 7 = 12,22,0,22
24,(56 ÷ 7) + 9 = 17,t,hard,f,hard,1,,f,4.396944700041786,40,(6 × 8) + 10 = 60,23,0,23
25,(18 + 9) ÷ 3 = 9,t,hard,f,hard,1,,f,2.797285299981013,33,(20 ÷ 5) + 18 = 30,24,0,24
26,(17 × 3) − 8 = 43,t,hard,t,hard,1,,t,2.3393166000023484,28,(32 ÷ 8) + 9 = 13,25,0,25
27,(48 ÷ 6) + 10 = 18,t,hard,t,easy,1,,t,1.2866722999606282,6,10 -2 = 8,26,0,26
28,(32 ÷ 8) + 9 = 13,t,hard,t,easy,1,,t,1.3335462999530137,7,3 + 6 = 9,27,0,27
29,(9 × 7) − 20 = 43,t,hard,f,easy,1,,f,1.4025717999320477,14,9 -1 = 5,28,0,28
30,(6 × 8) + 10 = 58,t,hard,t,easy,1,,t,1.2630260000005364,3,9 + 1= 10,29,0,29
31,(32 ÷ 4) + 11 = 20,t,hard,t,hard,1,,t,3.770819599973038,29,(9 × 7) − 20 = 43,30,0,30
32,(50 − 14) ÷ 6 = 5,f,hard,f,easy,1,,f,2.023463699966669,18,12 - 6 =10,31,0,31
33,(20 ÷ 5) + 18 = 30,f,hard,f,easy,1,,f,1.4664674000814557,11,8 - 3 = 4,32,0,32
34,(22 × 3) − 11 = 50,f,hard,t,easy,1,,t,1.6796311000362039,5,4 + 4 = 8,33,0,33
35,(48 ÷ 6) + 10 = 20,f,hard,f,easy,1,,f,3.4152109001297504,13,6 x 2 = 14,34,0,34
36,(14 + 16) ÷ 2 = 18,f,hard,f,hard,1,,f,7.9916693000122905,34,(22 × 3) − 11 = 50,35,0,35
37,(21 × 3) − 15 = 50,f,hard,t,hard,1,,t,12.238667400088161,26,(17 × 3) − 8 = 43,36,0,36
38,(36 − 9) ÷ 3 = 8,f,hard,t,easy,1,,t,3.4453643001616,9,12 - 4 = 8,37,0,37
39,(40 ÷ 5) + 9 = 20,f,hard,f,hard,1,,f,2.7676872999873012,39,(40 ÷ 5) + 9 = 20,38,0,38
40,(6 × 8) + 10 = 60,f,hard,f,easy,1,,f,2.0891909999772906,16,10 -7 = 1,39,0,39

extraInfo
participant,participant 7
session,001
date,2025-11-21_13h44.10.038
expName,solo project
expVersion,
psychopyVersion,2025.1.1
frameRate,59.65604708716125
expStart,2025-11-21 13h44.20.218199 +0530
