problem_id,problem,correct,difficulty,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,instr_text.started,instr_key.started,instructions.stopped,instr_key.keys,instr_key.rt,instr_key.duration,fixation.started,fix.started,fixation.stopped,trial.started,problem_text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,fix.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,0.004324,0.0087102,0.0087102,0.019914,space,0.0028288,None,,,,,,,,,,,,,particpant 9,1,2025-11-21_14h33.10.012,solo project,,2025.1.1,59.72288581,2025-11-21 14h35.42.912150 +0530
38,(36 − 9) ÷ 3 = 8,f,hard,0,0,0,f,1,7.3874906,None,0,0,0,37,0.0388438,,,,,,,,,0.0330775,0.0388438,0.5271402,0.5440255,0.5480824,0.5480824,7.9416262,f,1,7.3874906,None,,particpant 9,1,2025-11-21_14h33.10.012,solo project,,2025.1.1,59.72288581,2025-11-21 14h35.42.912150 +0530
24,(56 ÷ 7) + 9 = 17,t,hard,1,1,0,t,1,2.7992645,None,0,1,1,23,7.9571709,,,,,,,,,7.941893,7.9571709,8.444541,8.4541723,8.4574586,8.4574586,11.2578077,t,1,2.7992645,None,8.4574586,particpant 9,1,2025-11-21_14h33.10.012,solo project,,2025.1.1,59.72288581,2025-11-21 14h35.42.912150 +0530
8,7 + 5 = 12,t,easy,2,2,0,t,1,1.4090781,None,0,2,2,7,11.2725027,,,,,,,,,11.2580853,11.2725027,11.7567103,11.762991,11.7724408,11.7724408,13.1892834,t,1,1.4090781,None,11.7724408,particpant 9,1,2025-11-21_14h33.10.012,solo project,,2025.1.1,59.72288581,2025-11-21 14h35.42.912150 +0530
35,(48 ÷ 6) + 10 = 20,f,hard,3,3,0,f,1,4.839041,None,0,3,3,34,13.2054269,,,,,,,,,13.1895869,13.2054269,13.6893375,13.6968795,13.7047284,13.7047284,18.5542057,f,1,4.839041,None,13.7047284,particpant 9,1,2025-11-21_14h33.10.012,solo project,,2025.1.1,59.72288581,2025-11-21 14h35.42.912150 +0530
37,(21 × 3) − 15 = 50,f,hard,4,4,0,f,1,5.9693522,None,0,4,4,36,18.5693615,,,,,,,,,18.5546537,18.5693615,19.0535362,19.0598944,19.0692265,19.0692265,25.0501872,f,1,5.9693522,None,19.0692265,particpant 9,1,2025-11-21_14h33.10.012,solo project,,2025.1.1,59.72288581,2025-11-21 14h35.42.912150 +0530
1,5 + 7 = 12,t,easy,5,5,0,t,1,1.198942,None,0,5,5,0,25.0664335,,,,,,,,,25.0504937,25.0664335,25.5505134,25.5554016,25.5667303,25.5667303,26.7673483,t,1,1.198942,None,,particpant 9,1,2025-11-21_14h33.10.012,solo project,,2025.1.1,59.72288581,2025-11-21 14h35.42.912150 +0530
22,(28 ÷ 4) + 7 = 14,t,hard,7,7,0,t,1,6.1437842,None,0,7,7,21,29.6143372,,,,,,,,,29.5986758,29.6143372,30.0985765,30.1030874,30.1142133,30.1142133,36.2626697,t,1,6.1437842,None,30.1142133,particpant 9,1,2025-11-21_14h33.10.012,solo project,,2025.1.1,59.72288581,2025-11-21 14h35.42.912150 +0530
12,7 + 3 = 15,f,easy,8,8,0,f,1,1.0282535,None,0,8,8,11,36.2786575,,,,,,,,,36.2629973,36.2786575,36.7623399,36.7671074,36.7787192,36.7787192,37.8123286,f,1,1.0282535,None,36.7787192,particpant 9,1,2025-11-21_14h33.10.012,solo project,,2025.1.1,59.72288581,2025-11-21 14h35.42.912150 +0530
33,(20 ÷ 5) + 18 = 30,f,hard,9,9,0,f,1,3.4105277,None,0,9,9,32,37.8278635,,,,,,,,,37.8127509,37.8278635,38.3113872,38.3176888,38.3276183,38.3276183,41.7436714,f,1,3.4105277,None,38.3276183,particpant 9,1,2025-11-21_14h33.10.012,solo project,,2025.1.1,59.72288581,2025-11-21 14h35.42.912150 +0530
2,8 − 3 = 5,t,easy,10,10,0,t,1,4.8407735,None,0,10,10,1,41.7594594,,,,,,,,,41.7440211,41.7594594,42.2434348,42.2472864,42.2594349,42.2594349,47.1086386,t,1,4.8407735,None,42.2594349,particpant 9,1,2025-11-21_14h33.10.012,solo project,,2025.1.1,59.72288581,2025-11-21 14h35.42.912150 +0530
9,12 - 4 = 8,t,easy,11,11,0,t,1,2.9941619,None,0,11,11,8,47.1239042,,,,,,,,,47.1091025,47.1239042,47.606639,47.6134049,47.6228746,47.6228746,50.6234017,t,1,2.9941619,None,47.6228746,particpant 9,1,2025-11-21_14h33.10.012,solo project,,2025.1.1,59.72288581,2025-11-21 14h35.42.912150 +0530
19,2 x 4 = 12,f,easy,12,12,0,f,1,1.4702678,None,0,12,12,18,50.6390495,,,,,,,,,50.6237525,50.6390495,51.123039,51.1296747,51.1386947,51.1386947,52.6229675,f,1,1.4702678,None,51.1386947,particpant 9,1,2025-11-21_14h33.10.012,solo project,,2025.1.1,59.72288581,2025-11-21 14h35.42.912150 +0530
16,10 -7 = 1,f,easy,13,13,0,f,1,2.1032224,None,0,13,13,15,52.6378654,,,,,,,,,52.6234163,52.6378654,53.1222524,53.1266233,53.1380719,53.1380719,55.2545283,f,1,2.1032224,None,53.1380719,particpant 9,1,2025-11-21_14h33.10.012,solo project,,2025.1.1,59.72288581,2025-11-21 14h35.42.912150 +0530
